NIF empresa,Nº de orden,Nombre empresa,Teléfono gratuito incidencias,Portal de medidas
B87562534,R1-283,"DISTRIBUCIÓN ELÉCTRICA DEL POZO DEL TIO RAIMUNDO, S.L.U.",900 103 189,https://portal.asemeservicios.com
B98220734,R1-158,DISELSOT SL,900 373 167,http://consumos.grupcev.es
B94149515,R1-041,ELECTRA ALTO MIÑO DISTRIBUIDORA DE ENERGIA SL,900 103 244,http://eamdistribuidora.com/clientes/pvpc
B54975628,R1-258,"HIDROENERGETICA DE MILLARES,SL",900 373 281,
B25820341,R1-327,"ELECTRICA ARANGARONA, SLU",900 102 663,https://portal.asemeservicios.com
B94149150,R1-282,"ELÉCTRICA DE CATOIRA, S.L.",900 373 685,http://catoira.distribucionweb.datacenter.gl/clientes/pvpc
B06724645,R1-047,"DISTRIBUIDORA DE ENERGÍA ELÉCTRICA DE DON BENITO, S.L.U.",900 373 369,https://disenel.cide.net/clientes/pvpc
B98196249,R1-152,"DISTRIBUIDORA ELECTRICA DE MELIANA, S.L.",900 90 16 75,http://consumos.grupcev.es
B54863956,R1-063,"DISTRIBUCION ELECTRICA CATRALENSE, SLU",900 101 489,https://portal.asemeservicios.com
B98212053,R1-128,ELECTRICA DE CHERA DISTRIBUIDORA SL,900 373 319,http://consumos.grupcev.es
B91516351,R1-046,DISTRIBUIDORA ELECTRICA TENTUDIA SL,900 373 891,https://detentudia.cide.net/clientes/pvpc
B91516344,R1-199,DISTRIBUIDORA ELECTRICA MONESTERIO SL,900 373 874,https://demonesterio.cide.net/clientes/pvpc
B87689733,R1-133,HIDROELECTRICA EL CARMEN REDES SL,900 373 508,https://hidroelcarmen.cide.net/clientes/pvpc
